Date,Category,Amount,Description
2026-05-02,Rent,1200.00,Store rent for May
2026-05-05,Marketing,150.00,Facebook local ads
2026-05-12,Inventory,500.00,Restock shirts
2026-05-18,Utilities,220.50,Electricity & Water
2026-05-24,Software,45.00,Shopify and Mailchimp subscription
2026-06-02,Rent,1200.00,Store rent for June
2026-06-04,Marketing,200.00,Instagram campaign
2026-06-08,Inventory,850.00,Restock backpacks and jackets
2026-06-18,Utilities,235.10,Electricity & Water
2026-06-25,Software,45.00,Shopify subscription
2026-06-28,Shipping,112.40,Customer package shipping costs
